abdulsalam.sa@usmba.ac.ma,12341234,teacher,géographie méditerranée,S4,2024/2025
ali.ch@usmba.ac.ma,12341234,teacher,francais (S4),S4,2024/2025
nawar.af@usmba.ac.ma,12341234,teacher,english (S4),S4,2024/2025
muhammed.by@usmba.ac.ma,12341234,teacher,compétences personnelles,S4,2024/2025


muhammed.hn@usmba.ac.ma,12341234,teacher,monter montagne,S6,2024/2025
najm.al@usmba.ac.ma,12341234,teacher,sol,S6,2024/2025
muhammed.ht@usmba.ac.ma,12341234,teacher,risques environnementaux,S6,2024/2025
souad.bn@usmba.ac.ma,12341234,teacher,hydrologie,S6,2024/2025

magda.sb@usmba.ac.ma,12341234,teacher,environnement végétatif,S6,2024/2025
muhammad.zr@usmba.ac.ma,12341234,teacher,régional et régional,S6,2024/2025
idris.zh@usmba.ac.ma,12341234,teacher,économie locale,S6,2024/2025
bushti.kh@usmba.ac.ma,12341234,teacher,approche citation,S6,2024/2025



student1@usmba.ac.ma,password1,student,NONE,S1,2024/2025
student1@usmba.ac.ma,password1,student 
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student
student1@usmba.ac.ma,password1,student








